"...1","Hours_Studied","Attendance","Parental_Involvement","Access_to_Resources","Extracurricular_Activities","Sleep_Hours","Previous_Scores","Motivation_Level","Internet_Access","Tutoring_Sessions","Family_Income","Teacher_Quality","School_Type","Peer_Influence","Physical_Activity","Learning_Disabilities","Parental_Education_Level","Distance_from_Home","Gender","Exam_Score","Hours_Studied_imp","Attendance_imp","Parental_Involvement_imp","Access_to_Resources_imp","Extracurricular_Activities_imp","Sleep_Hours_imp","Previous_Scores_imp","Motivation_Level_imp","Internet_Access_imp","Tutoring_Sessions_imp","Family_Income_imp","Teacher_Quality_imp","School_Type_imp","Peer_Influence_imp","Physical_Activity_imp","Learning_Disabilities_imp","Parental_Education_Level_imp","Distance_from_Home_imp","Gender_imp","Exam_Score_imp","grupa1","grupa2"
834,15,71,"Low","Medium","No",8,60,"High","No",5,"Low","High","Public","Positive",4,"No","High School","Far","Female",63,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"poniżej 16","3.0"
835,20,96,"Medium","Medium","No",6,71,"Medium","Yes",5,"Low","High","Public","Neutral",3,"No","College","Near","Male",72,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"16-23","4.0"
836,21,97,"Medium","High","Yes",6,53,"Low","Yes",0,"Low","Medium","Public","Negative",3,"Yes","High School","Moderate","Male",69,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"16-23","3.5"
837,29,76,"Medium","Medium","No",8,96,"Low","Yes",2,"Low","Medium","Public","Positive",2,"No","Postgraduate","Moderate","Male",94,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"powyżej 23","5.0"
838,14,96,"Medium","High","Yes",4,97,"Low","Yes",2,"Medium","Medium","Public","Negative",3,"No","High School","Near","Female",70,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"poniżej 16","3.5"
839,26,75,"Low","Medium","No",6,72,"Medium","Yes",0,"Low","High","Public","Neutral",3,"No","High School","Near","Male",66,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"powyżej 23","3.5"
840,19,89,"Low","Medium","Yes",5,60,"Low","Yes",4,"Medium","Medium","Public","Positive",2,"No","Postgraduate","Moderate","Female",69,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"16-23","3.5"
841,20,79,"Medium","Low","Yes",6,74,"Low","Yes",2,"Low","Medium","Public","Positive",2,"No","High School","Far","Male",64,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"16-23","3.0"
842,24,65,"Medium","Medium","No",7,55,"Low","Yes",1,"Low","High","Private","Positive",3,"Yes","High School","Near","Female",63,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"powyżej 23","3.0"
843,13,97,"High","High","No",7,70,"Medium","Yes",1,"Low","High","Public","Neutral",4,"No","Postgraduate","Near","Female",71,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"poniżej 16","4.0"
844,22,78,"High","Medium","No",7,54,"Medium","Yes",1,"Medium","Medium","Public","Negative",3,"Yes","High School","Moderate","Male",65,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"16-23","3.0"
845,21,89,"Low","Medium","Yes",9,85,"Low","Yes",1,"Medium","Medium","Public","Negative",5,"No","College","Far","Female",68,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"16-23","3.5"
846,23,75,"Medium","Medium","No",7,64,"High","Yes",1,"Low","Medium","Public","Negative",3,"Yes","High School","Moderate","Male",64,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"16-23","3.0"
847,22,61,"Low","Low","Yes",7,76,"High","Yes",1,"High","High","Public","Positive",2,"No","College","Near","Male",64,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"16-23","3.0"
848,18,64,"Medium","Medium","Yes",8,51,"Medium","Yes",2,"High","Medium","Public","Negative",5,"Yes","High School","Near","Male",66,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"16-23","3.5"
849,16,80,"High","Medium","No",6,76,"Medium","Yes",1,"Low","High","Public","Positive",4,"No","College","Near","Male",68,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"16-23","3.5"
850,17,88,"Medium","Medium","No",10,50,"Medium","Yes",3,"Low","High","Public","Neutral",5,"No","College","Moderate","Female",67,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"16-23","3.5"
851,16,73,"Low","High","Yes",7,96,"Medium","Yes",1,"Medium","Medium","Private","Positive",3,"No","High School","Moderate","Female",66,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"16-23","3.5"
852,17,88,"Medium","Medium","Yes",10,75,"Medium","Yes",2,"Medium","Medium","Public","Neutral",3,"No","High School","Near","Male",66,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"16-23","3.5"
853,16,88,"Low","Medium","No",7,55,"Medium","Yes",3,"Low","Low","Public","Neutral",3,"No","Postgraduate","Near","Male",66,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"16-23","3.5"
854,27,88,"Medium","Medium","No",7,67,"Medium","Yes",3,"High","Medium","Public","Neutral",4,"No","College","Far","Male",71,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"powyżej 23","4.0"
855,29,80,"Medium","High","Yes",7,52,"Medium","Yes",4,"Low","Medium","Public","Positive",4,"No","High School","Moderate","Female",71,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"powyżej 23","4.0"
856,17,97,"Medium","High","No",7,77,"Medium","Yes",0,"Low","Medium","Private","Negative",4,"No","College","Far","Male",68,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"16-23","3.5"
857,15,80,"High","Low","No",9,56,"High","Yes",3,"Medium","Medium","Public","Neutral",3,"Yes","High School","Near","Female",64,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"poniżej 16","3.0"
858,23,78,"Medium","Medium","Yes",10,74,"Low","Yes",3,"Medium","Medium","Public","Negative",4,"No","High School","Moderate","Male",67,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"16-23","3.5"
859,17,68,"High","Medium","Yes",4,65,"High","Yes",0,"Medium","Medium","Private","Positive",2,"No","High School","Moderate","Male",64,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"16-23","3.0"
860,24,72,"High","Low","Yes",6,88,"High","Yes",3,"Low","Medium","Public","Positive",2,"No","High School","Near","Female",68,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"powyżej 23","3.5"
861,21,62,"Medium","Low","No",6,74,"High","Yes",0,"Low","High","Private","Positive",3,"Yes","Postgraduate","Far","Male",62,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"16-23","3.0"
862,11,85,"Medium","Low","Yes",4,92,"Low","Yes",0,"Medium","High","Public","Neutral",1,"No","College","Near","Male",64,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"poniżej 16","3.0"
863,29,70,"Low","High","No",8,97,"Low","Yes",3,"Low","High","Public","Positive",3,"No","Postgraduate","Moderate","Male",70,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"powyżej 23","3.5"
864,15,72,"Medium","Medium","No",8,98,"High","Yes",0,"Low","Medium","Public","Neutral",4,"No","College","Far","Male",68,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"poniżej 16","3.5"
865,16,91,"Medium","Medium","No",8,63,"High","Yes",2,"Medium","High","Public","Neutral",3,"No","College","Near","Female",69,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"16-23","3.5"
866,18,73,"Low","Medium","Yes",8,88,"Low","Yes",3,"Low","Medium","Public","Positive",4,"No","College","Moderate","Male",65,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"16-23","3.0"
867,22,70,"Medium","High","Yes",8,72,"Medium","Yes",2,"High","Medium","Public","Neutral",3,"No","High School","Near","Male",67,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"16-23","3.5"
868,22,67,"High","Medium","No",6,71,"Low","Yes",2,"Medium","High","Public","Positive",2,"No","College","Moderate","Male",70,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"16-23","3.5"
869,24,91,"High","Medium","No",7,93,"Low","Yes",0,"Medium","Medium","Public","Positive",2,"No","High School","Moderate","Male",71,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"powyżej 23","4.0"
870,19,65,"Medium","Low","Yes",8,57,"Low","Yes",2,"Low","Medium","Public","Positive",3,"No","High School","Moderate","Female",65,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"16-23","3.0"
871,19,78,"Medium","Medium","Yes",9,74,"Low","Yes",2,"High","Medium","Public","Positive",5,"No","High School","Moderate","Female",66,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"16-23","3.5"
872,15,80,"High","Medium","No",7,80,"Medium","Yes",0,"Low","Low","Public","Neutral",5,"No","High School","Near","Female",65,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"poniżej 16","3.0"
873,12,87,"Medium","Medium","Yes",7,53,"Low","Yes",2,"Medium","Medium","Private","Neutral",1,"No","College","Near","Male",65,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"poniżej 16","3.0"
874,16,85,"Low","Medium","No",7,93,"High","Yes",1,"Medium","High","Public","Positive",3,"No","High School","Near","Male",68,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"16-23","3.5"
875,20,92,"Medium","Medium","Yes",5,66,"Medium","Yes",2,"Medium","Medium","Public","Negative",2,"Yes","College","Moderate","Male",68,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"16-23","3.5"
876,27,62,"High","Medium","No",8,83,"Medium","Yes",0,"Medium","High","Private","Neutral",2,"Yes","College","Near","Female",67,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"powyżej 23","3.5"
877,17,72,"Low","Medium","Yes",5,96,"High","Yes",3,"High","Medium","Public","Negative",3,"No","High School","Moderate","Male",65,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"16-23","3.0"
878,21,71,"Medium","Low","No",5,86,"Medium","Yes",2,"Medium","High","Public","Neutral",2,"No","College","Near","Male",66,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"16-23","3.5"
879,20,66,"Medium","Medium","Yes",7,94,"Low","Yes",0,"Medium","Low","Public","Neutral",4,"No","High School","Moderate","Female",63,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"16-23","3.0"
880,27,72,"High","High","Yes",5,53,"Medium","Yes",1,"High","Medium","Private","Neutral",5,"No","Postgraduate","Near","Male",70,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"powyżej 23","3.5"
881,17,72,"High","High","Yes",5,75,"Medium","Yes",1,"Low","Medium","Public","Positive",5,"No","College","Moderate","Male",72,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"16-23","4.0"
882,17,81,"Medium","High","No",6,78,"Medium","Yes",2,"Low","Medium","Private","Positive",2,"No","High School","Moderate","Male",67,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"16-23","3.5"
883,17,87,"High","Low","Yes",6,84,"Medium","Yes",0,"Medium","Medium","Public","Positive",3,"No","College","Far","Male",67,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"16-23","3.5"
884,26,75,"Low","Medium","Yes",9,56,"Medium","Yes",1,"Low","Medium","Public","Positive",5,"No","High School","Moderate","Male",66,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"powyżej 23","3.5"
885,24,89,"Low","Medium","No",7,83,"Medium","No",1,"Low","Low","Public","Neutral",3,"No","High School","Moderate","Male",66,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"powyżej 23","3.5"
886,20,73,"High","Medium","Yes",8,57,"Medium","Yes",2,"Low","High","Public","Neutral",4,"No","High School","Far","Male",69,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"16-23","3.5"
887,24,72,"Medium","Low","Yes",9,53,"Medium","Yes",0,"Low","High","Private","Neutral",4,"Yes","High School","Moderate","Male",62,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"powyżej 23","3.0"
888,18,82,"Low","Medium","No",9,73,"Low","Yes",2,"Low","Medium","Public","Positive",4,"No","College","Near","Female",66,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"16-23","3.5"
889,24,61,"Medium","Medium","No",7,80,"High","Yes",0,"Low","Medium","Public","Positive",3,"No","Postgraduate","Moderate","Male",64,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"powyżej 23","3.0"
890,27,63,"High","Medium","Yes",6,98,"Medium","Yes",1,"Low","High","Public","Positive",2,"No","High School","Moderate","Female",67,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"powyżej 23","3.5"
891,25,77,"High","High","No",8,85,"Medium","Yes",2,"Medium","Medium","Public","Positive",1,"No","College","Near","Male",71,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"powyżej 23","4.0"
892,23,98,"High","Medium","Yes",6,80,"Medium","Yes",1,"Medium","Medium","Public","Positive",2,"No","College","Moderate","Male",73,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"16-23","4.0"
893,26,89,"Medium","Low","Yes",7,61,"Low","Yes",0,"Medium","High","Public","Neutral",3,"No","High School","Moderate","Female",68,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"powyżej 23","3.5"
894,27,64,"High","Low","Yes",8,58,"Medium","Yes",2,"High","High","Public","Neutral",1,"No","Postgraduate","Far","Male",66,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"powyżej 23","3.5"
895,28,94,"Medium","High","Yes",7,80,"Medium","Yes",3,"Low","High","Public","Positive",4,"No","Postgraduate","Far","Male",75,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"powyżej 23","4.0"
896,24,89,"Medium","High","Yes",8,61,"Medium","Yes",1,"Low","High","Public","Positive",3,"No","Postgraduate","Near","Female",72,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"powyżej 23","4.0"
897,19,84,"High","Low","Yes",7,85,"Medium","Yes",1,"High","Medium","Private","Neutral",3,"No","High School","Near","Male",68,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"16-23","3.5"
898,21,93,"Medium","Medium","Yes",6,56,"Medium","No",1,"Low","Medium","Public","Positive",3,"No","High School","Near","Male",68,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"16-23","3.5"
899,27,76,"Low","High","Yes",8,67,"Medium","Yes",1,"Medium","Medium","Public","Positive",4,"No","High School","Near","Male",69,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"powyżej 23","3.5"
900,15,69,"Medium","Medium","Yes",7,89,"Medium","Yes",1,"Low","High","Public","Negative",2,"No","College","Moderate","Female",63,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"poniżej 16","3.0"
901,22,80,"Medium","High","Yes",10,92,"Medium","Yes",0,"Medium","High","Public","Positive",2,"No","High School","Near","Female",70,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"16-23","3.5"
902,18,82,"Low","Medium","Yes",6,67,"Low","Yes",1,"High","Low","Private","Positive",3,"No","Postgraduate","Moderate","Male",66,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"16-23","3.5"
903,20,82,"Low","Low","Yes",8,60,"Medium","Yes",3,"Medium","High","Public","Positive",4,"No","High School","Moderate","Male",66,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"16-23","3.5"
904,28,83,"Medium","High","No",6,98,"Medium","Yes",1,"Medium","High","Private","Neutral",2,"No","Postgraduate","Moderate","Male",72,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"powyżej 23","4.0"
905,21,98,"Low","Medium","No",6,88,"Medium","Yes",1,"Medium","Low","Public","Neutral",3,"No","Postgraduate","Near","Male",71,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"16-23","4.0"
906,20,96,"High","Medium","No",4,90,"Medium","Yes",3,"Low","Medium","Private","Neutral",2,"No","College","Near","Male",72,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"16-23","4.0"
907,12,95,"Medium","Medium","No",8,61,"High","Yes",4,"High","High","Private","Neutral",1,"No","College","Near","Male",69,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"poniżej 16","3.5"
908,24,92,"Low","High","Yes",6,71,"Low","Yes",2,"Low","High","Public","Positive",2,"No","High School","Near","Male",71,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"powyżej 23","4.0"
909,24,98,"Medium","Low","No",9,53,"Medium","Yes",3,"High","Low","Private","Negative",2,"No","Postgraduate","Far","Male",69,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"powyżej 23","3.5"
910,29,64,"High","Medium","No",8,55,"Medium","Yes",1,"Medium","High","Public","Neutral",3,"No","College","Moderate","Female",68,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"powyżej 23","3.5"
